date,open,high,low,close
2019-12-30,2202.62,2206.36,2188.1,2203.6
2019-12-27,2183.7,2215.55,2177.4,2204.21
2019-12-26,2192.22,2198.01,2183.9,2197.93
2019-12-24,2206.23,2206.23,2187.58,2190.08
2019-12-23,2208.22,2209.2,2196.43,2203.71
2019-12-20,2205.57,2206.82,2194.8,2204.18
2019-12-19,2199.42,2204.73,2186.59,2196.56
2019-12-18,2194.92,2204.04,2187.32,2194.76
2019-12-17,2179.4,2196.01,2171.09,2195.68
2019-12-16,2168.05,2175.01,2166.29,2168.15
2019-12-13,2164.63,2170.25,2159.45,2170.25
2019-12-12,2120.13,2138.93,2120.13,2137.35
2019-12-11,2098.28,2109.22,2092.48,2105.62
2019-12-10,2081.22,2100.48,2080.16,2098
2019-12-09,2091.94,2093.81,2084.31,2088.65
2019-12-06,2072.44,2084.44,2070.17,2081.85
2019-12-05,2078.31,2084.29,2053.56,2060.74
2019-12-04,2070.84,2072.91,2057.45,2068.89
2019-12-03,2075.02,2085.71,2066.6,2084.07
2019-12-02,2097.55,2103.87,2088.92,2091.92
2019-11-29,2125.53,2125.53,2085.1,2087.96
2019-11-28,2116.93,2127.75,2116.58,2118.6
2019-11-27,2134.47,2136.3,2118.07,2127.85
2019-11-26,2129.27,2139.64,2120.85,2121.35
2019-11-25,2117.14,2130.04,2116.07,2123.5
2019-11-22,2098.89,2106.42,2093.99,2101.96
2019-11-21,2123.65,2125.36,2088.19,2096.6
2019-11-20,2140.06,2145.97,2123.8,2125.32
2019-11-19,2151.04,2154.41,2137.01,2153.24
2019-11-18,2161.89,2165.89,2151.97,2160.69
2019-11-15,2137.96,2165.02,2135.26,2162.18
2019-11-14,2127.54,2139.23,2121.32,2139.23
2019-11-13,2132.48,2133.37,2118.67,2122.45
2019-11-12,2131.26,2140.94,2121.8,2140.92
2019-11-11,2139.07,2139.07,2119.07,2124.09
2019-11-08,2154.18,2155.94,2133.75,2137.23
2019-11-07,2141.05,2147.01,2135.45,2144.29
2019-11-06,2142.69,2156.23,2138.83,2144.15
2019-11-05,2133.66,2143.12,2128.7,2142.64
2019-11-04,2111.32,2130.83,2111.32,2130.24
2019-11-01,2084.79,2100.42,2081.53,2100.2
2019-10-31,2089.22,2103.71,2083.48,2083.48
2019-10-30,2093.51,2093.51,2075.54,2080.27
2019-10-29,2103.92,2105.17,2088.04,2092.69
2019-10-28,2096.67,2104.39,2089.76,2093.6
2019-10-25,2091.16,2091.24,2079.3,2087.89
2019-10-24,2089.85,2089.85,2067.9,2085.66
2019-10-23,2086.81,2088.25,2074.88,2080.62
2019-10-22,2076.29,2093.81,2073.08,2088.86
2019-10-21,2067.97,2067.97,2059.33,2064.84
2019-10-18,2082.23,2088.54,2057.89,2060.69
2019-10-17,2081.76,2087.15,2072.49,2077.94
2019-10-16,2080.92,2090.01,2073.8,2082.83
2019-10-15,2064.78,2073.21,2064.34,2068.17
2019-10-14,2068.13,2075.1,2065.53,2067.4
2019-10-11,2048.08,2053.94,2040.48,2044.61
2019-10-10,2030.13,2040.88,2010.9,2028.15
2019-10-08,2029.37,2046.81,2024.63,2046.25
2019-10-07,2031.53,2034.94,2016.19,2021.73
2019-10-04,2028.4,2039.43,2020.69,2020.69
2019-10-02,2058.23,2058.23,2031.91,2031.91
2019-10-01,2062.44,2077.48,2057.91,2072.42
2019-09-30,2045.77,2064.99,2042.01,2063.05
2019-09-27,2066.96,2066.96,2044.75,2049.93
2019-09-26,2082.66,2087.33,2064.34,2074.52
2019-09-25,2093.47,2095.27,2072.41,2073.39
2019-09-24,2090.19,2101.63,2085.91,2101.04
2019-09-23,2087.7,2095.54,2085.6,2091.7
2019-09-20,2080.86,2092.37,2077.3,2091.52
2019-09-19,2070.53,2089.81,2070.53,2080.35
2019-09-18,2064.42,2075.63,2058.52,2070.73
2019-09-17,2058.72,2066.33,2055.17,2062.33
2019-09-16,2056.26,2062.22,2044.8,2062.22
2019-09-11,2043.72,2050.8,2040.04,2049.2
2019-09-10,2024.79,2034.28,2021.58,2032.08
2019-09-09,2013.38,2029.8,2013.28,2019.55
2019-09-06,2016.11,2017.2,2005.69,2009.13
2019-09-05,1993.62,2015.39,1992.51,2004.75
2019-09-04,1962.43,1988.53,1962.08,1988.53
2019-09-03,1966.5,1976.37,1960.15,1965.69
2019-09-02,1961.19,1973.25,1958.59,1969.19
2019-08-30,1951.66,1971.21,1951.3,1967.79
2019-08-29,1943.55,1947.15,1928.49,1933.41
2019-08-28,1929.96,1943.62,1926.43,1941.09
2019-08-27,1928.98,1937.42,1919.28,1924.6
2019-08-26,1915.34,1924.49,1909.92,1916.31
2019-08-23,1942.42,1953.85,1940.6,1948.3
2019-08-22,1966.6,1967.96,1951.01,1951.01
2019-08-21,1954.57,1971.12,1954.47,1964.65
2019-08-20,1942.99,1964.16,1937.53,1960.25
2019-08-19,1936.64,1943.09,1931.44,1939.9
2019-08-16,1921.49,1927.7,1911.72,1927.17
2019-08-14,1946.18,1952.22,1937.23,1938.37
2019-08-13,1928.76,1937.68,1923.58,1925.83
2019-08-12,1941.53,1949.19,1933.25,1942.29
2019-08-09,1940.06,1946.94,1936.14,1937.75
2019-08-08,1926.28,1937.95,1915.81,1920.61
2019-08-07,1925.33,1929.29,1901.61,1909.71
2019-08-06,1900.36,1948.53,1891.81,1917.5
2019-08-05,1985.93,1987.64,1945.39,1946.98
2019-08-02,1995.31,2005.31,1987.12,1998.13
2019-08-01,2015.09,2032.23,2009.33,2017.34
2019-07-31,2036.46,2041.16,2010.95,2024.55
2019-07-30,2035.32,2044.59,2032.61,2038.68
2019-07-29,2059.13,2063.13,2025.01,2029.48
2019-07-26,2063.35,2068.16,2054.64,2066.26
2019-07-25,2085.67,2088.81,2061.08,2074.48
2019-07-24,2097.16,2105.68,2080.66,2082.3
2019-07-23,2095.76,2106.39,2095.38,2101.45
2019-07-22,2090.35,2099.34,2087.51,2093.34
2019-07-19,2080.21,2096.73,2076.51,2094.36
2019-07-18,2068.66,2073.2,2061.33,2066.55
2019-07-17,2079.91,2080.01,2063.49,2072.92
2019-07-16,2084.46,2096.67,2078.74,2091.87
2019-07-15,2083.39,2088.34,2073.1,2082.48
2019-07-12,2083.53,2090.43,2077.35,2086.66
2019-07-11,2070.59,2088.24,2070.21,2080.58
2019-07-10,2061.55,2068.2,2056.48,2058.78
2019-07-09,2070.35,2075.3,2052.03,2052.03
2019-07-08,2091.91,2092.54,2063.78,2064.17
2019-07-05,2111,2115.43,2096.23,2110.59
2019-07-04,2102.36,2108.8,2088.97,2108.73
2019-07-03,2120.75,2127.71,2093.32,2096.02
2019-07-02,2122.07,2130.86,2112.52,2122.02
2019-07-01,2147.24,2147.24,2126.87,2129.74
2019-06-28,2135.06,2139.24,2123.97,2130.62
2019-06-27,2120.73,2141.27,2118.22,2134.32
2019-06-26,2120.2,2128.25,2115.72,2121.85
2019-06-25,2125.74,2136.24,2115.11,2121.64
2019-06-24,2130.32,2134.48,2123.88,2126.33
2019-06-21,2132.38,2132.68,2120.15,2125.62
2019-06-20,2121.78,2131.77,2120.42,2131.29
2019-06-19,2119.54,2126.74,2117.64,2124.78
2019-06-18,2089.31,2103.02,2089.31,2098.71
2019-06-17,2091.71,2103.59,2087.25,2090.73
2019-06-14,2096.32,2103.02,2087.47,2095.41
2019-06-13,2104.46,2108.01,2081.92,2103.15
2019-06-12,2111.66,2118.89,2104.41,2108.75
2019-06-11,2096.09,2114.57,2094.6,2111.81
2019-06-10,2087.37,2099.65,2075.51,2099.49
2019-06-07,2070.78,2081.16,2057.97,2072.33
2019-06-05,2084.16,2086.49,2065.71,2069.11
2019-06-04,2066.78,2072.19,2060.98,2066.97
2019-06-03,2031.03,2070.58,2029.17,2067.85
2019-05-31,2029.03,2048.9,2022.97,2041.74
2019-05-30,2024.33,2040.66,2023.91,2038.8
2019-05-29,2046.71,2046.71,2016.25,2023.32
2019-05-28,2044.77,2058.42,2038.52,2048.83
2019-05-27,2044.25,2055.13,2035.87,2044.21
2019-05-24,2047.3,2057.38,2035.98,2045.31
2019-05-23,2063.25,2065.86,2046.82,2059.59
2019-05-22,2068.65,2070.8,2048.01,2064.86
2019-05-21,2056.95,2076.47,2053.69,2061.25
2019-05-20,2066.53,2077.1,2051.69,2055.71
2019-05-17,2081.57,2082.83,2053.79,2055.8
2019-05-16,2094.88,2095.58,2062.44,2067.69
2019-05-15,2081.92,2100.01,2076.46,2092.78
2019-05-14,2060.24,2093.41,2056.74,2081.84
2019-05-13,2091.8,2101.09,2077.72,2079.01
2019-05-10,2118.42,2124.92,2090.39,2108.04
2019-05-09,2159.79,2164.98,2102.01,2102.01
2019-05-08,2151.34,2179.34,2151.34,2168.01
2019-05-07,2172.39,2179.51,2160.44,2176.99
2019-05-03,2209.44,2211.36,2192.36,2196.32
2019-05-02,2192.94,2217.03,2191.3,2212.75
2019-04-30,2213.43,2215.77,2186.33,2203.59
2019-04-29,2183.41,2216.43,2181.82,2216.43
2019-04-26,2178.13,2186.52,2168.15,2179.31
2019-04-25,2195.47,2200.89,2187.44,2190.5
2019-04-24,2229.75,2229.75,2190.29,2201.03
2019-04-23,2217.61,2223.92,2212.14,2220.51
2019-04-22,2218.5,2227.94,2207.25,2216.65
2019-04-19,2223.42,2225.37,2215.58,2216.15
2019-04-18,2248.8,2250.11,2210.43,2213.77
2019-04-17,2249.05,2252.05,2242.01,2245.89
2019-04-16,2241.06,2249.89,2235.72,2248.63
2019-04-15,2242.31,2251.22,2240.29,2242.88
2019-04-12,2221.1,2233.45,2212.88,2233.45
2019-04-11,2227.69,2230.41,2217.18,2224.44
2019-04-10,2206.2,2225.02,2203.82,2224.39
2019-04-09,2212.32,2221.62,2203.54,2213.56
2019-04-08,2217.66,2217.87,2202.49,2210.6
2019-04-05,2206.36,2214.82,2205.26,2209.61
2019-04-04,2201.04,2216.15,2198.66,2206.53
2019-04-03,2176.81,2203.29,2172.83,2203.27
2019-04-02,2177.2,2181.37,2171.84,2177.18
2019-04-01,2153.31,2171.49,2153.31,2168.28
2019-03-29,2138.45,2143.3,2124.07,2140.67
2019-03-28,2131.25,2136.4,2120.93,2128.1
2019-03-27,2147.19,2152.91,2132.42,2145.62
2019-03-26,2152.98,2153.9,2143.63,2148.8
2019-03-25,2158.8,2159.25,2143.7,2144.86
2019-03-22,2192.72,2195.42,2178.77,2186.95
2019-03-21,2183.11,2200.32,2173.7,2184.88
2019-03-20,2171.41,2177.19,2152.21,2177.1
2019-03-19,2183.03,2183.76,2171.05,2177.62
2019-03-18,2179.69,2183.9,2172.34,2179.49
2019-03-15,2152.96,2181.77,2152.59,2176.11
2019-03-14,2154.35,2158.34,2142.31,2155.68
2019-03-13,2152.66,2154.11,2134.16,2148.41
2019-03-12,2154.61,2161.69,2150.96,2157.18
2019-03-11,2140.29,2145.31,2125.54,2138.1
2019-03-08,2152.8,2159.67,2137.44,2137.44
2019-03-07,2173.19,2181.19,2155.19,2165.79
2019-03-06,2177.11,2179.01,2168.46,2175.6
2019-03-05,2183.35,2185.74,2171.33,2179.23
2019-03-04,2210.97,2216.02,2188.56,2190.66
2019-02-28,2231.58,2233.93,2195.44,2195.44
2019-02-27,2234.46,2237.77,2228.16,2234.79
