,A,B,C,D,E,F,G,H
77,0.012,0.0,-0.008,0.012,-0.406,0.008,-0.276,2069.166117316985
78,0.005,0.001,-0.032,0.034,1.147,0.042,0.606,2293.5846455528517
79,0.0,0.0,-0.007,0.002,-0.233,0.043,0.25,2515.2503276068455
80,-0.002,0.016,-0.043,0.024,0.557,0.066,1.005,3160.215848723994
81,0.044,0.026,-0.002,0.017,-0.015,0.084,0.991,3994.6469444152754
82,0.02,0.013,-0.003,0.006,-0.38,0.09,0.254,4744.478896570203
83,0.018,0.004,-0.014,0.014,-0.027,0.103,0.209,5628.11588553866
84,0.0,0.0,-0.036,0.032,0.43,0.137,0.739,7027.040703783598
85,-0.018,0.036,0.0,-0.031,0.196,0.102,1.107,7497.057949271621
86,-0.004,0.015,-0.006,-0.002,-0.091,0.099,0.933,7804.62373077315
87,0.006,0.007,-0.003,0.007,-0.557,0.105,-0.114,8153.511352075322
88,-0.004,0.004,-0.01,0.006,-0.151,0.112,-0.224,8433.377296882842
89,0.012,0.009,-0.006,0.006,0.1,0.117,-0.13,8731.411171891494
90,-0.006,0.006,-0.005,-0.001,-0.157,0.114,-0.258,8995.100420726129
91,-0.013,0.001,-0.009,-0.009,0.503,0.103,0.165,9036.109083472882
92,-0.007,0.024,0.0,-0.027,0.412,0.074,0.72,8765.544027911965
93,0.007,0.006,-0.008,0.008,0.119,0.084,0.972,8443.520343403798
94,0.007,0.015,-0.0,-0.004,-0.285,0.081,0.368,7821.411906460766
95,-0.001,0.009,-0.002,-0.001,-0.312,0.083,-0.162,6735.714708297775
96,0.006,0.0,-0.019,0.018,0.504,0.104,0.207,5638.871107626153
97,-0.002,0.008,-0.012,0.009,0.044,0.114,0.28,4476.861682732197
98,0.003,0.017,-0.005,-0.01,-0.358,0.1,-0.237,3802.0470940354135
99,-0.002,0.023,-0.004,-0.022,0.423,0.073,0.056,3033.6193425987876
100,-0.001,0.007,-0.007,0.001,0.502,0.069,0.453,2728.8524675170192
101,0.004,0.005,-0.006,-0.0,-0.478,0.062,-0.292,2712.9661374882417
102,0.009,0.0,-0.021,0.028,0.28,0.085,-0.096,2678.6956763163325
103,0.002,0.009,-0.005,-0.0,-0.392,0.077,-0.449,2699.6732745785557
104,0.012,0.026,-0.001,-0.014,0.807,0.052,-0.043,2342.306555513176
105,-0.007,0.009,-0.004,-0.003,0.018,0.043,-0.081,2358.700802069696
106,0.012,0.007,-0.011,0.02,-0.161,0.059,-0.257,2424.614130992908
107,-0.015,0.005,-0.005,-0.016,-0.066,0.037,-0.279,2408.0531555594935
108,-0.005,0.005,-0.006,0.0,-0.213,0.033,-0.405,2336.8678993360663
109,0.009,0.015,-0.003,-0.001,0.179,0.026,-0.272,2165.353988320814
110,0.007,0.005,-0.011,0.007,-0.05,0.029,-0.276,1996.6962186255842
111,-0.004,0.008,-0.003,-0.002,0.802,0.023,0.326,1933.9144922043197
112,0.0,0.0,-0.021,0.021,-0.35,0.045,-0.155,2124.796956243852
113,0.015,0.0,-0.019,0.033,0.331,0.079,0.091,3191.8211267649604
114,-0.008,0.013,0.0,-0.014,-0.337,0.064,-0.271,3542.6638802490197
115,0.01,0.003,-0.005,0.01,0.149,0.074,-0.132,3975.29211108078
116,-0.008,0.003,-0.004,-0.007,-0.169,0.064,-0.278,4265.328518229406
117,-0.002,0.002,-0.016,0.014,-0.101,0.076,-0.353,4741.70033904117
118,-0.001,0.002,-0.008,0.0,0.124,0.074,-0.249,5115.358093139977
119,-0.014,0.006,-0.003,-0.013,-0.005,0.062,-0.25,5055.821449212366
120,0.007,0.008,0.0,0.005,-0.132,0.068,-0.377,4987.907904438282
121,-0.009,0.002,-0.009,-0.008,0.43,0.059,-0.085,4746.6846047364525
122,-0.001,0.012,-0.002,-0.007,-0.427,0.05,-0.474,4721.919324306917
123,-0.001,0.009,-0.002,-0.005,0.17,0.043,-0.359,4667.062639842159
124,-0.004,0.002,-0.017,0.012,0.337,0.055,-0.152,4498.643538246892
125,0.009,0.001,-0.007,0.01,0.027,0.066,-0.139,4297.924101115248
126,-0.007,0.005,-0.005,-0.004,-0.256,0.059,-0.354,4260.5183771585
127,0.013,0.005,-0.007,0.016,0.327,0.076,-0.132,4132.834378486514
128,-0.0,0.0,-0.015,0.007,-0.1,0.083,-0.195,3994.067179151971
129,0.0,0.002,-0.021,0.018,-0.024,0.102,-0.203,4023.5014863333054
130,0.004,0.008,-0.01,0.013,0.69,0.116,0.372,4315.248849322481
131,0.009,0.012,-0.001,-0.002,-0.486,0.114,-0.326,4278.276091580512
132,0.008,0.008,-0.002,0.003,0.089,0.115,-0.261,4518.099274322289
133,-0.004,0.001,-0.009,0.004,-0.211,0.113,-0.429,5008.556888492254
134,-0.004,0.002,-0.015,-0.002,0.575,0.106,-0.084,5274.719847886168
135,0.0,0.002,-0.012,0.009,-0.25,0.112,-0.309,5676.3442646236945
136,-0.007,0.002,-0.011,-0.002,0.01,0.105,-0.288,5882.292428171713
137,-0.007,0.003,-0.005,-0.004,-0.16,0.096,-0.385,6056.090105705254
138,-0.007,0.015,-0.001,-0.017,0.523,0.073,-0.049,6044.377639809711
139,-0.008,0.004,-0.011,-0.003,0.038,0.067,0.003,5885.617080736105
140,0.003,0.017,-0.005,-0.001,0.02,0.064,0.048,5744.065679143634
141,0.0,0.043,-0.008,-0.043,1.286,0.019,1.376,5685.795412577223
142,-0.007,0.001,-0.027,0.009,-0.515,0.027,0.197,5423.18764293901
143,-0.004,0.005,-0.022,0.008,-0.105,0.036,0.098,4971.592564921113
144,0.012,0.007,-0.008,0.008,-0.316,0.043,-0.251,4641.326489156665
145,0.0,0.026,-0.014,-0.026,0.998,0.015,0.489,4728.198054450055
146,0.008,0.01,-0.004,-0.002,-0.462,0.011,-0.182,4780.7667299624445
147,-0.004,0.011,-0.003,-0.003,-0.136,0.006,-0.297,5055.200136597225
148,0.008,0.011,-0.005,0.003,0.105,0.005,-0.219,5301.854293298558
149,-0.007,0.024,-0.001,-0.031,0.824,-0.03,0.434,6021.003238663805
150,-0.002,0.009,-0.01,-0.008,0.579,-0.043,1.146,6632.868713341246
151,-0.017,0.015,-0.009,-0.029,0.105,-0.074,1.426,7605.705337719206
152,0.011,0.009,-0.006,0.008,-0.245,-0.071,0.857,8116.825928766411
153,0.027,0.004,-0.004,0.026,0.142,-0.051,1.186,8063.214456308415
154,0.016,0.006,-0.006,0.018,-0.433,-0.037,0.226,7792.22392415737
155,-0.006,0.007,-0.014,-0.003,-0.156,-0.045,0.052,7288.220922181645
156,0.007,0.009,-0.006,-0.001,-0.513,-0.049,-0.48,6688.924388396408
157,-0.0,0.003,-0.006,0.003,0.446,-0.049,-0.228,5999.545245924455
158,0.017,0.006,-0.006,0.01,0.271,-0.04,-0.03,5514.835112293877
159,0.001,0.003,-0.004,0.001,-0.077,-0.04,-0.119,5003.685378640526
160,0.008,0.018,-0.006,-0.011,0.299,-0.051,0.127,4388.791465348491
161,0.0,0.025,-0.003,-0.02,-0.114,-0.066,-0.135,4431.740064579601
162,-0.01,0.0,-0.02,-0.0,0.267,-0.065,0.085,4363.129731354726
163,0.007,0.004,-0.005,0.003,-0.405,-0.061,-0.353,4104.397641554722
164,0.0,0.007,-0.007,0.003,0.466,-0.058,-0.021,3557.0869216848077
165,0.003,0.003,-0.004,0.003,-0.034,-0.052,-0.087,3400.2080431706127
166,-0.015,0.007,-0.012,-0.01,-0.254,-0.059,-0.3,3269.20946504132
167,0.004,0.003,-0.017,0.015,0.475,-0.042,0.07,3123.4933209974697
168,0.0,0.004,-0.006,0.005,-0.077,-0.035,0.014,2942.992390497515
169,0.0,0.002,-0.023,0.023,-0.105,-0.007,-0.123,3298.022373930682
170,0.012,0.002,-0.01,0.02,0.126,0.018,-0.105,3948.084145639834
171,0.013,0.008,-0.006,0.014,-0.048,0.04,-0.228,4358.230447277761
