,A,B,C,D,E,F,G,H
336,0.012,0.004,-0.027,0.035,0.895,0.036,0.466,5282.628930849925
337,0.004,0.012,-0.006,-0.008,-0.515,0.025,-0.289,5249.848118103793
338,-0.008,0.002,-0.036,0.025,0.835,0.05,0.262,5355.323568778622
339,-0.004,0.013,-0.006,-0.008,-0.356,0.042,-0.216,5344.257715185129
340,-0.002,0.023,0.0,-0.019,-0.134,0.018,-0.348,5303.534074955169
341,0.0,0.04,-0.008,-0.036,1.417,-0.023,0.398,5334.012018221023
342,0.018,0.002,-0.017,0.024,2.097,-0.003,2.931,5077.286884278175
343,-0.004,0.008,-0.026,0.012,-0.795,0.005,-0.291,4760.042016621286
344,-0.01,0.002,-0.008,-0.004,-0.251,-0.003,-0.521,4382.0086718307575
345,0.0,0.002,-0.018,0.004,-0.064,-0.0,-0.589,4301.4195943102095
346,0.01,0.024,-0.002,-0.014,0.486,-0.016,-0.391,3993.82417977399
347,-0.008,0.015,-0.001,-0.019,0.247,-0.034,-0.22,4119.989780263262
348,0.002,0.008,-0.011,0.005,-0.376,-0.029,-0.496,4098.21527265865
349,-0.004,0.008,-0.003,-0.01,0.146,-0.039,-0.393,4193.729655217729
350,-0.008,0.017,0.0,-0.025,0.732,-0.06,0.077,4681.38531003939
351,0.006,0.022,0.0,-0.012,-0.186,-0.067,-0.12,5207.070092419381
352,-0.001,0.023,-0.009,-0.023,-0.025,-0.086,-0.126,6200.882789443858
353,0.013,0.007,-0.011,0.009,-0.087,-0.075,-0.166,6808.323079723428
354,0.01,0.013,-0.003,0.0,-0.148,-0.073,-0.244,7338.836850331907
355,0.019,0.018,0.0,0.001,-0.227,-0.071,-0.388,7789.189539625455
356,-0.001,0.0,-0.022,0.004,0.028,-0.069,-0.374,7879.059521755655
357,-0.004,0.009,-0.011,-0.013,0.028,-0.082,-0.324,8104.910792067269
358,-0.016,0.006,-0.023,0.007,0.06,-0.078,-0.282,7719.687749343779
359,0.01,0.011,-0.02,0.02,0.361,-0.062,0.014,7147.439732998246
360,-0.023,0.007,-0.004,-0.025,-0.163,-0.085,-0.115,6982.504451917848
361,-0.012,0.011,-0.01,-0.003,0.103,-0.085,-0.061,7146.843248669495
362,-0.003,0.035,-0.001,-0.024,-0.07,-0.106,-0.332,7287.306917185735
363,0.004,0.007,-0.009,0.013,-0.164,-0.095,-0.423,6906.1300001482305
364,0.012,0.017,-0.004,0.002,-0.199,-0.093,-0.516,6400.460509747878
365,-0.003,0.013,-0.008,-0.007,-0.198,-0.099,-0.592,5629.948116055224
366,-0.01,0.021,-0.006,-0.023,1.535,-0.119,0.055,5250.553855496924
367,0.013,0.011,-0.009,0.015,-0.35,-0.103,-0.314,4881.112901572211
368,0.013,0.005,-0.004,0.015,-0.093,-0.088,-0.355,4056.910932691215
369,0.002,0.01,-0.013,-0.007,0.066,-0.091,-0.295,3284.7334266589314
370,-0.002,0.016,-0.001,-0.011,0.054,-0.097,-0.279,3075.6086261181918
371,0.007,0.0,-0.016,0.022,-0.024,-0.073,-0.299,2875.870577572525
372,0.006,0.016,-0.001,-0.01,-0.335,-0.075,-0.534,2890.9295536575373
373,0.002,0.008,-0.005,-0.004,0.158,-0.074,-0.456,2874.5525967668364
374,0.019,0.014,-0.002,0.015,0.232,-0.056,-0.317,2816.1190166236775
375,0.011,0.006,-0.006,0.007,-0.098,-0.044,-0.361,2786.64106426583
376,0.002,0.003,-0.016,0.012,0.06,-0.03,-0.3,2848.064901685095
377,-0.007,0.015,-0.008,-0.02,0.033,-0.045,-0.256,2836.899716239539
378,-0.003,0.01,-0.004,-0.008,-0.237,-0.049,-0.42,2766.3199951902643
379,0.002,0.009,-0.005,0.0,-0.126,-0.048,-0.496,2274.689105419864
380,-0.001,0.002,-0.019,0.016,0.021,-0.029,-0.48,2298.992914528586
381,-0.01,0.002,-0.01,0.0,-0.354,-0.026,-0.664,2351.169921549692
382,-0.007,0.006,-0.003,-0.009,0.202,-0.029,-0.593,2280.7893370497914
383,-0.006,0.004,-0.005,-0.005,0.404,-0.031,-0.417,2278.757740986359
384,-0.004,0.006,-0.011,0.006,-0.068,-0.022,-0.437,2293.675515067691
385,0.0,0.027,-0.001,-0.022,0.144,-0.04,-0.326,2367.7437628079206
386,0.007,0.003,-0.007,0.004,-0.033,-0.031,-0.373,2061.0676844781265
387,0.009,0.008,-0.001,0.001,-0.182,-0.027,-0.481,2011.4409603172826
388,0.011,0.001,-0.017,0.019,0.338,-0.006,-0.293,2042.186650575677
389,0.006,0.004,-0.005,0.002,-0.29,-0.002,-0.492,2060.250368025052
390,0.004,0.003,-0.01,0.002,0.868,0.003,-0.045,1942.4347174561553
391,-0.016,0.022,-0.012,-0.033,0.388,-0.028,0.336,2149.5654395592137
392,-0.01,0.001,-0.009,-0.008,-0.412,-0.035,-0.184,2444.6719723986607
393,-0.004,0.006,-0.007,0.002,-0.346,-0.031,-0.453,2633.308905061029
394,-0.03,0.009,-0.012,-0.02,0.574,-0.05,-0.134,3190.3802776141674
395,-0.005,0.007,-0.001,-0.003,-0.325,-0.054,-0.407,3613.192202850114
396,-0.014,0.008,-0.008,-0.006,0.071,-0.061,-0.36,3856.6961590405263
397,-0.003,0.002,-0.025,0.021,0.306,-0.04,-0.16,3918.377752402943
398,0.008,0.002,-0.026,0.028,0.223,-0.011,0.055,3914.6015458993934
399,0.001,0.0,-0.011,0.002,-0.422,-0.008,-0.37,3918.914994847699
400,-0.006,0.005,-0.013,-0.001,-0.022,-0.01,-0.365,3792.9990911234345
401,-0.001,0.005,-0.006,0.003,-0.2,-0.007,-0.464,3674.248938648263
402,0.011,0.009,-0.005,0.005,0.399,-0.002,-0.219,3683.5909253421705
403,0.004,0.0,-0.009,0.005,-0.243,0.005,-0.401,3782.9951931741816
404,0.003,0.006,-0.02,0.018,1.188,0.023,0.335,4096.866581849317
405,-0.012,0.0,-0.03,0.017,0.114,0.042,0.496,4725.240177688553
406,-0.005,0.018,-0.003,-0.021,-0.367,0.022,-0.045,4909.485984456929
407,0.002,0.003,-0.009,0.004,-0.21,0.028,-0.227,5113.490928288054
408,-0.007,0.018,-0.004,-0.023,0.346,0.005,0.037,5104.6315398758015
409,-0.009,0.007,-0.007,-0.011,-0.011,-0.007,0.053,5063.179778921956
410,-0.035,0.007,-0.011,-0.027,1.023,-0.034,1.052,5104.5902974933415
411,0.012,0.001,-0.011,0.013,-0.454,-0.019,0.034,5095.880689341153
412,0.001,0.019,0.0,-0.01,-0.011,-0.026,0.021,5095.880689341153
413,-0.003,0.012,-0.001,-0.011,0.317,-0.034,0.389,5205.260497045776
414,0.0,0.016,-0.001,-0.011,0.407,-0.042,0.939,5263.0189455342625
415,0.022,0.0,-0.021,0.039,-0.319,0.001,0.356,4972.54567865553
416,-0.007,0.014,-0.006,-0.016,-0.347,-0.01,-0.097,4616.343962374056
417,-0.004,0.009,-0.018,0.008,0.229,-0.001,0.104,4492.0866092789365
418,0.011,0.001,-0.01,0.014,-0.062,0.013,0.008,4492.051459610579
419,0.015,0.007,-0.018,0.023,0.445,0.035,0.496,4602.642261731162
420,-0.015,0.003,-0.018,0.003,0.069,0.038,0.642,4729.259427948753
421,-0.009,0.0,-0.022,0.002,0.092,0.038,0.865,4860.972395681645
422,-0.005,0.017,-0.003,-0.023,-0.287,0.014,0.346,4857.5497397025465
423,0.0,0.01,-0.012,-0.002,-0.436,0.009,-0.216,4835.167226194273
424,0.002,0.022,0.0,-0.014,0.04,-0.008,-0.222,4681.160449919946
425,-0.012,0.02,0.0,-0.022,0.796,-0.035,0.322,4338.942388720039
426,0.002,0.018,-0.003,0.0,-0.111,-0.037,0.179,4257.451671697767
427,-0.011,0.006,-0.017,0.006,-0.359,-0.034,-0.226,3974.3387400991196
428,0.007,0.004,-0.018,0.008,0.53,-0.027,0.179,3901.362784841651
429,-0.029,0.036,0.0,-0.051,0.869,-0.073,1.196,4491.348408475547
430,0.002,0.015,-0.018,0.02,-0.346,-0.051,0.303,4662.323793763659
431,0.001,0.006,-0.01,-0.005,-0.412,-0.053,-0.236,4892.314058000091
432,-0.002,0.013,-0.006,-0.005,-0.082,-0.055,-0.299,5139.1070287192415
433,0.013,0.008,-0.003,0.012,0.217,-0.04,-0.174,5200.516168713701
434,-0.005,0.009,-0.008,-0.002,0.005,-0.038,-0.23,5200.516168713701
435,-0.003,0.006,-0.01,-0.003,-0.061,-0.042,-0.286,5312.586841395474
436,-0.01,0.009,-0.008,-0.008,0.066,-0.048,-0.22,5510.525813100059
437,-0.006,0.009,-0.012,-0.012,0.14,-0.059,-0.105,5791.200221025007
438,0.0,0.013,-0.007,-0.012,0.419,-0.07,0.285,6068.547038451186
439,-0.046,0.013,-0.011,-0.038,0.43,-0.107,0.789,6504.929305008467
440,0.002,0.007,-0.015,0.0,-0.255,-0.11,0.291,6611.759858090183
441,-0.004,0.013,-0.021,0.01,0.003,-0.104,0.246,6266.737588251155
442,0.0,0.015,-0.032,0.022,-0.018,-0.084,0.228,5905.073643642565
443,0.013,0.022,-0.017,0.001,0.24,-0.083,0.591,5427.3672981910495
444,0.001,0.019,0.0,-0.006,-0.238,-0.087,0.26,5114.725902004095
445,0.021,0.002,-0.031,0.045,0.23,-0.041,0.534,5009.160030436877
446,-0.009,0.0,-0.021,-0.008,-0.429,-0.046,-0.123,4853.159578536113
447,-0.001,0.001,-0.018,-0.001,-0.182,-0.045,-0.256,4603.648438724267
448,-0.003,0.011,-0.014,0.006,0.498,-0.039,0.115,4224.178524935502
449,0.02,0.023,0.0,0.001,0.092,-0.032,0.125,4311.111713992839
450,0.009,0.012,-0.009,0.006,-0.42,-0.024,-0.355,4369.752492087544
451,-0.01,0.001,-0.033,0.02,0.169,-0.0,-0.221,4711.1960711747815
452,-0.029,0.0,-0.025,-0.016,0.089,-0.013,-0.12,4839.356199026137
453,0.0,0.009,-0.007,-0.009,-0.271,-0.02,-0.346,4831.85700380952
454,-0.001,0.002,-0.017,0.003,-0.136,-0.014,-0.424,4862.5204640348675
455,0.008,0.017,-0.007,-0.006,0.326,-0.018,-0.219,4874.196290024047
456,0.001,0.014,-0.005,-0.008,-0.031,-0.023,-0.231,4879.721734948253
457,-0.027,0.005,-0.016,-0.02,0.25,-0.039,-0.036,4894.852290658877
458,-0.023,0.005,-0.007,-0.017,0.143,-0.05,0.063,4966.614859025693
459,-0.002,0.005,-0.011,0.008,-0.446,-0.036,-0.458,4567.344039915028
460,0.0,0.005,-0.012,-0.001,-0.13,-0.03,-0.542,4118.047570083872
461,-0.006,0.005,-0.012,0.005,0.274,-0.021,-0.431,3753.4545491628814
462,0.007,0.001,-0.013,0.01,0.265,-0.008,-0.295,3630.9198486565874
463,-0.006,0.001,-0.009,0.002,-0.17,-0.004,-0.441,3501.8641652095685
464,0.016,0.016,-0.006,0.0,0.22,-0.001,-0.323,3278.943989184714
465,0.007,0.051,-0.002,-0.031,1.334,-0.033,0.533,3570.2130262256833
466,0.022,0.003,-0.02,0.032,-0.388,-0.002,-0.036,3559.656991163167
467,-0.014,0.018,-0.006,-0.026,0.185,-0.028,0.185,3722.477952287052
468,-0.03,0.007,-0.014,-0.017,-0.12,-0.046,0.048,4033.269536975524
469,-0.021,0.015,-0.001,-0.023,0.128,-0.069,0.177,4626.195435833462
470,0.01,0.011,-0.002,0.011,-0.198,-0.06,-0.019,4826.887413775374
471,-0.012,0.011,-0.005,-0.019,0.303,-0.081,0.311,4872.468303480389
472,0.01,0.011,-0.001,0.001,-0.286,-0.081,-0.047,4978.733721910045
473,0.0,0.006,-0.007,0.005,0.13,-0.077,0.119,5008.739730132773
474,0.005,0.019,0.0,-0.011,1.183,-0.088,1.554,5009.6328261292365
475,0.005,0.032,-0.006,-0.027,-0.251,-0.112,0.959,5353.316728907419
476,-0.008,0.011,-0.013,0.005,-0.414,-0.107,0.176,5530.8798196080315
477,-0.022,0.008,-0.015,-0.006,-0.043,-0.111,0.131,5873.5714948626555
478,0.0,0.006,-0.006,0.005,-0.1,-0.103,0.008,6156.032556940001
479,-0.013,0.012,-0.004,-0.012,0.201,-0.111,0.258,6436.826612711055
480,-0.012,0.0,-0.014,0.0,0.252,-0.109,0.646,6624.801883830194
481,-0.004,0.006,-0.013,0.004,-0.349,-0.104,0.1,6636.866730619207
482,-0.01,0.01,-0.001,-0.012,0.306,-0.114,0.444,6524.0930000793305
483,0.009,0.014,-0.004,-0.003,-0.173,-0.116,0.219,6247.862792482265
484,0.0,0.005,-0.013,0.012,-0.058,-0.105,0.15,5691.535728374933
485,0.018,0.017,-0.005,0.001,-0.207,-0.101,-0.189,5481.250337574253
486,-0.012,0.025,-0.004,-0.031,0.589,-0.128,0.259,4742.46216309852
487,-0.004,0.004,-0.016,-0.004,0.131,-0.13,0.366,4371.149433320839
488,0.015,0.004,-0.025,0.034,-0.096,-0.097,0.209,3867.4893256750656
489,-0.019,0.029,-0.004,-0.017,0.001,-0.107,0.17,3739.9690401195403
490,0.014,0.0,-0.033,0.038,0.368,-0.068,0.594,3318.385783860329
491,0.01,0.009,-0.005,0.005,-0.156,-0.059,0.301,3207.1466249119694
492,0.014,0.001,-0.014,0.017,-0.208,-0.038,0.036,3301.3553835388593
493,-0.001,0.016,-0.005,-0.011,0.028,-0.045,0.057,3162.211085201052
494,0.0,0.0,-0.03,0.026,-0.041,-0.016,-0.099,3605.025731713409
495,0.001,0.0,-0.018,0.008,-0.261,-0.001,-0.367,4237.22848842942
496,0.006,0.004,-0.012,0.012,0.382,0.017,-0.113,4953.04265870458
497,0.001,0.002,-0.008,0.008,-0.06,0.031,-0.153,5649.741493853362
498,0.009,0.0,-0.02,0.011,0.03,0.046,-0.108,6384.677381290137
499,0.0,0.017,-0.007,-0.014,-0.123,0.037,-0.213,6715.410400124863
500,-0.019,0.006,-0.015,-0.004,0.111,0.038,-0.14,6917.6813882596325
501,0.025,0.001,-0.016,0.024,0.332,0.068,0.173,7368.003371620463
502,0.029,0.0,-0.022,0.038,0.545,0.116,0.81,8236.625522627583
503,0.006,0.01,-0.01,0.007,-0.21,0.128,0.453,8922.420016305463
504,0.0,0.0,-0.025,0.01,-0.099,0.143,0.334,9624.80895230762
505,-0.015,0.0,-0.034,0.019,0.08,0.168,0.491,10428.725511272874
506,0.005,0.02,0.0,-0.005,0.235,0.168,0.83,10529.212496168635
507,0.011,0.013,-0.002,0.004,-0.36,0.179,0.15,10338.863828446425
508,0.01,0.019,0.0,-0.003,0.147,0.177,0.312,10278.76707740665
509,-0.011,0.02,-0.003,-0.031,-0.201,0.144,0.043,9432.954551939038
510,-0.007,0.0,-0.017,0.004,-0.123,0.148,-0.122,8973.434477154748
511,-0.008,0.004,-0.03,0.023,0.185,0.173,0.025,8616.624079435976
512,0.008,0.011,-0.004,0.003,-0.143,0.173,-0.114,8350.701199678733
513,0.009,0.0,-0.028,0.027,0.527,0.205,0.362,8065.025206342965
514,-0.016,0.017,-0.009,-0.031,-0.388,0.163,-0.16,7594.5340455106925
515,0.01,0.014,-0.008,0.003,-0.225,0.162,-0.328,7118.0718855895975
516,-0.008,0.004,-0.011,-0.005,-0.176,0.149,-0.444,6643.207849097889
517,0.017,0.004,-0.009,0.02,0.707,0.167,-0.043,6323.556627488419
518,-0.009,0.005,-0.016,0.001,-0.244,0.161,-0.273,6034.497319142407
519,-0.01,0.0,-0.015,0.004,-0.207,0.161,-0.414,5342.422080312506
520,0.005,0.004,-0.006,0.004,0.085,0.162,-0.361,4243.868642245143
521,0.0,0.015,-0.005,-0.013,0.067,0.141,-0.334,3274.0607331279753
522,0.005,0.011,0.0,0.0,0.007,0.131,-0.382,3026.810028291904
523,-0.007,0.031,0.0,-0.037,1.93,0.082,0.746,3010.228178097226
524,0.02,0.028,-0.001,-0.006,-0.452,0.067,-0.06,3199.522990763013
525,-0.006,0.019,-0.002,-0.014,-0.179,0.042,-0.248,3650.811012998558
526,-0.006,0.007,-0.007,-0.006,-0.039,0.028,-0.312,4115.324378082747
527,-0.014,0.011,-0.024,0.01,0.083,0.03,-0.25,4331.269414021954
528,0.0,0.023,0.0,-0.015,-0.301,0.008,-0.479,4716.588865516664
529,0.014,0.018,0.0,-0.003,0.387,0.002,-0.268,5024.529305003816
530,0.015,0.007,-0.011,0.022,0.067,0.022,-0.201,5077.701510681669
531,-0.009,0.014,-0.003,-0.018,-0.291,-0.002,-0.429,5334.801333054289
532,-0.003,0.01,-0.007,0.0,1.225,-0.007,0.296,5529.252352619413
533,-0.001,0.001,-0.011,0.008,-0.068,-0.006,0.181,5307.432722631827
534,-0.006,0.01,-0.006,-0.011,-0.513,-0.02,-0.41,5454.992884360254
535,0.001,0.0,-0.008,0.005,-0.071,-0.019,-0.43,5493.910504511237
536,-0.002,0.003,-0.022,0.003,0.294,-0.018,-0.226,5509.9049566738395
537,0.012,0.009,-0.039,0.039,1.147,0.017,0.678,5281.506961982886
538,0.022,0.01,-0.006,0.015,-0.407,0.029,0.025,5165.105593254964
539,-0.027,0.003,-0.015,-0.023,-0.306,0.002,-0.258,4764.551119299809
540,0.0,0.01,-0.008,-0.006,0.118,-0.008,-0.14,4170.813375173515
541,-0.011,0.006,-0.024,0.002,-0.017,-0.008,-0.13,3773.857442988534
542,-0.009,0.008,-0.012,-0.011,-0.287,-0.021,-0.364,3240.061727807042
543,-0.008,0.006,-0.01,-0.004,0.685,-0.024,-0.038,3204.339163335273
544,0.012,0.009,-0.004,0.009,-0.359,-0.013,-0.388,3224.511386894228
545,0.011,0.008,-0.009,0.015,0.288,0.005,-0.203,3374.767048490743
546,0.022,0.003,-0.017,0.018,0.312,0.027,0.059,3737.9983385426167
547,-0.01,0.003,-0.017,0.007,0.017,0.037,0.084,4195.737185086284
548,0.0,0.015,-0.005,-0.002,-0.324,0.038,-0.244,4404.053157095899
549,0.009,0.013,-0.011,-0.004,-0.004,0.036,-0.243,4416.941070588626
550,0.001,0.006,-0.01,0.0,-0.191,0.037,-0.389,4565.995596742694
551,-0.005,0.0,-0.014,0.001,0.728,0.041,0.084,4513.791730848214
552,0.0,0.012,-0.002,-0.01,0.153,0.033,0.177,4305.247715838996
553,-0.004,0.001,-0.018,0.013,-0.44,0.048,-0.368,4249.8173335357715
554,0.006,0.01,-0.001,0.004,0.139,0.054,-0.257,3971.0001391668484
555,0.007,0.003,-0.01,0.004,-0.115,0.061,-0.319,3695.957962850487
556,0.001,0.012,-0.001,-0.004,-0.287,0.057,-0.508,3292.911046155772
557,0.003,0.036,-0.002,-0.032,1.323,0.022,0.053,3321.6356148582418
558,0.003,0.015,-0.001,-0.007,-0.338,0.011,-0.305,3388.696380305366
559,0.002,0.012,-0.006,0.001,-0.292,0.01,-0.494,3413.90346115781
560,-0.007,0.007,-0.004,-0.003,0.152,0.006,-0.406,3424.6628723822796
561,0.004,0.02,-0.013,-0.01,0.922,-0.005,0.161,3573.749321164869
562,-0.011,0.008,-0.012,-0.002,-0.183,-0.007,-0.014,3635.0776434189465
563,-0.01,0.003,-0.023,0.004,-0.104,-0.002,-0.12,3573.749321164869
564,0.007,0.0,-0.023,0.028,-0.099,0.027,-0.18,3443.055558504304
565,-0.003,0.01,-0.011,-0.007,0.267,0.019,0.05,3435.0974857843685
566,-0.008,0.005,-0.011,0.001,-0.224,0.016,-0.199,3410.988435228588
567,0.0,0.017,0.0,-0.013,-0.239,-0.001,-0.401,3380.8127331814903
568,-0.001,0.01,-0.01,-0.01,0.831,-0.014,0.121,3435.1740934967966
569,-0.012,0.014,-0.001,-0.014,-0.135,-0.029,-0.01,3662.958252272976
570,-0.008,0.042,0.0,-0.042,1.215,-0.071,1.266,4630.971251999101
571,0.004,0.013,-0.01,0.01,-0.367,-0.063,0.412,5082.311948005765
572,-0.009,0.013,-0.007,-0.006,-0.476,-0.069,-0.283,5566.289513434283
573,-0.032,0.011,-0.032,0.0,0.515,-0.071,0.116,5787.46376594319
574,0.001,0.012,0.0,-0.002,-0.337,-0.076,-0.249,5844.475574150521
575,-0.005,0.02,-0.005,-0.024,0.785,-0.1,0.372,6032.403727938145
576,0.01,0.021,-0.008,-0.008,-0.024,-0.109,0.399,6208.474683425622
577,0.011,0.002,-0.011,0.019,0.179,-0.09,0.598,6356.8529122017935
578,0.014,0.019,-0.019,0.027,0.194,-0.064,0.934,6282.00437339615
579,0.013,0.007,-0.025,0.008,-0.413,-0.055,0.177,6141.241088352021
580,0.009,0.003,-0.014,0.008,0.111,-0.046,0.341,6002.455637837775
581,-0.001,0.026,-0.007,-0.027,0.139,-0.068,0.465,5994.901342412835
582,-0.005,0.008,-0.007,-0.001,-0.422,-0.067,-0.165,5980.133777767856
583,-0.002,0.009,-0.009,-0.002,2.038,-0.068,1.534,5911.727862121988
584,-0.016,0.007,-0.012,-0.018,-0.391,-0.085,0.558,5493.383580080204
585,0.01,0.004,-0.009,0.018,-0.212,-0.069,0.209,4923.841033818593
586,0.001,0.007,-0.008,-0.001,-0.034,-0.07,0.181,4143.936597767373
587,0.011,0.002,-0.03,0.03,0.361,-0.041,0.657,3585.878736905288
588,-0.009,0.006,-0.01,-0.008,-0.359,-0.047,0.034,3099.1340046773403
589,0.014,0.007,-0.005,0.01,0.257,-0.035,0.289,2968.093486965736
590,-0.007,0.003,-0.017,0.007,-0.063,-0.022,0.068,3235.9168553497875
591,0.002,0.001,-0.017,0.013,-0.247,-0.004,-0.221,3696.370908707191
592,0.0,0.003,-0.007,0.001,-0.242,0.002,-0.391,4075.394717725285
593,-0.001,0.01,-0.007,-0.006,0.291,0.001,-0.217,4297.502334588018
594,-0.009,0.015,-0.008,-0.019,0.964,-0.014,0.583,4300.440613900413
595,0.0,0.003,-0.016,0.006,-0.449,-0.002,-0.15,4076.9441600554856
596,-0.006,0.003,-0.011,-0.002,0.275,0.002,0.062,3598.5377147128165
597,-0.003,0.003,-0.016,0.01,-0.328,0.016,-0.313,3424.5399229984905
598,0.025,0.002,-0.008,0.022,0.303,0.04,-0.154,3761.004904907313
599,-0.011,0.0,-0.014,0.003,-0.314,0.044,-0.414,4102.617906192405
600,0.005,0.002,-0.011,0.004,0.323,0.048,-0.225,4457.9438262381445
601,-0.011,0.007,-0.007,-0.004,-0.356,0.045,-0.508,4554.743045499534
602,-0.007,0.004,-0.009,0.002,0.163,0.05,-0.408,4590.734375376473
603,0.004,0.007,-0.002,0.002,0.304,0.054,-0.298,4540.62365296825
604,0.007,0.002,-0.016,0.017,0.366,0.076,-0.054,4310.330308505494
605,0.011,0.0,-0.006,0.011,0.027,0.089,-0.017,4429.31621192969
606,0.007,0.017,-0.008,-0.009,-0.121,0.082,-0.124,4188.9453515049245
607,-0.009,0.014,-0.009,-0.008,-0.257,0.072,-0.361,4194.482591515465
608,-0.011,0.021,-0.004,-0.019,0.143,0.051,-0.252,3911.3734295338218
609,-0.003,0.004,-0.016,0.013,-0.342,0.064,-0.506,3784.9980880201038
610,-0.001,0.007,-0.009,-0.008,0.137,0.053,-0.433,3657.4365483577712
611,-0.02,0.009,-0.001,-0.028,0.081,0.021,-0.368,3724.96555971363
612,0.01,0.008,-0.009,0.016,-0.023,0.034,-0.354,3704.4922942145204
613,0.01,0.013,-0.001,0.01,0.21,0.042,-0.198,3641.052479420585
614,0.018,0.008,-0.001,0.014,0.188,0.057,-0.088,3360.372786337539
615,0.003,0.002,-0.011,0.002,-0.523,0.059,-0.555,3108.8837055664917
616,-0.008,0.004,-0.015,0.003,-0.101,0.062,-0.6,2729.102416546506
617,0.0,0.0,-0.012,0.009,0.57,0.069,-0.352,2555.818954135015
618,-0.015,0.007,-0.002,-0.017,-0.296,0.048,-0.54,2509.854262911016
619,0.009,0.008,-0.01,0.001,-0.014,0.045,-0.53,2483.545852204057
620,0.012,0.003,-0.004,0.015,0.715,0.058,-0.183,2584.9768399654713
621,0.0,0.002,-0.013,0.008,0.022,0.064,-0.129,2750.004784684832
622,0.003,0.005,-0.005,0.002,0.006,0.063,-0.097,2913.055910352923
623,-0.004,0.016,-0.003,-0.019,-0.034,0.04,-0.121,2885.097827402773
624,0.016,0.0,-0.013,0.017,-0.04,0.054,-0.176,3010.577842768471
625,-0.012,0.0,-0.013,-0.001,-0.064,0.048,-0.248,3045.255153081336
626,-0.007,0.021,-0.002,-0.023,-0.129,0.021,-0.351,3029.3129323503817
627,0.004,0.006,-0.005,0.01,-0.19,0.029,-0.464,3043.4571754745266
628,-0.008,0.028,-0.008,-0.026,1.319,0.002,0.251,3055.3490626664716
629,-0.01,0.007,-0.008,-0.003,-0.393,-0.003,-0.213,3188.06986649982
630,-0.014,0.012,-0.014,-0.006,0.556,-0.009,0.257,3346.3884696002788
631,-0.013,0.015,-0.008,-0.023,0.17,-0.029,0.498,3562.893560901837
632,-0.033,0.007,-0.023,-0.01,0.061,-0.039,0.62,4187.839538473272
633,0.002,0.016,-0.002,-0.007,-0.337,-0.046,0.075,4895.368380310858
634,0.001,0.02,0.0,-0.013,0.692,-0.06,0.788,5700.184669215363
635,0.014,0.005,-0.002,0.012,-0.428,-0.051,0.068,6130.13265074986
636,0.02,0.007,-0.003,0.013,-0.126,-0.041,-0.021,6301.971287245222
637,-0.005,0.012,-0.001,-0.016,-0.14,-0.059,-0.147,6527.512623705261
638,0.021,0.013,-0.005,0.016,0.202,-0.044,0.065,6630.162338252281
639,0.002,0.0,-0.014,0.005,0.089,-0.04,0.202,6658.741780942044
640,0.01,0.017,-0.002,-0.007,-0.369,-0.049,-0.249,6563.976650909433
641,0.008,0.003,-0.02,0.019,0.402,-0.033,0.041,6198.811431064401
642,-0.002,0.007,-0.008,0.001,-0.221,-0.035,-0.198,5715.942616926797
643,0.0,0.015,-0.005,-0.01,0.227,-0.045,-0.023,5477.715620681003
644,-0.006,0.006,-0.007,-0.002,-0.378,-0.049,-0.393,4861.621994875022
645,-0.02,0.005,-0.015,-0.008,0.585,-0.059,-0.033,4105.695658728888
646,0.001,0.003,-0.01,0.01,1.122,-0.049,1.085,3673.5183192826516
647,0.001,0.006,-0.009,0.002,-0.659,-0.047,-0.267,2827.980495726675
648,0.001,0.018,-0.008,-0.017,0.87,-0.061,0.292,2525.053412671128
649,0.008,0.007,-0.006,0.014,-0.081,-0.046,0.195,2182.6830423031934
650,0.019,0.024,-0.003,-0.005,-0.274,-0.048,-0.169,1881.880358633498
651,-0.006,0.009,-0.003,-0.013,0.36,-0.056,0.065,1912.1770453155186
652,0.0,0.0,-0.022,0.019,0.273,-0.033,0.277,1939.7232575265662
653,0.016,0.009,-0.027,0.035,0.471,0.007,0.873,2571.9949250993523
654,0.018,0.004,-0.01,0.013,-0.459,0.026,-0.053,3160.4629907324415
655,0.003,0.002,-0.013,0.013,-0.047,0.044,-0.091,3969.833617088807
656,0.004,0.004,-0.01,0.002,-0.021,0.049,-0.094,4654.550687796102
657,0.006,0.005,-0.007,0.003,0.748,0.056,0.628,5085.986940397575
658,-0.003,0.0,-0.015,-0.001,-0.037,0.057,0.586,5485.4736397718225
659,-0.002,0.004,-0.002,-0.004,-0.549,0.054,-0.284,5745.286397515243
660,0.0,0.0,-0.019,0.017,0.486,0.074,0.105,6123.457915435138
661,0.007,0.001,-0.026,0.03,0.581,0.107,0.765,7071.328320091372
662,0.005,0.008,-0.002,0.001,-0.061,0.108,0.706,7813.207441653896
663,0.001,0.0,-0.006,0.002,-0.51,0.111,-0.156,8344.7052232633
664,-0.005,0.003,-0.013,0.004,0.04,0.116,-0.084,8755.359261016856
665,-0.006,0.009,-0.002,-0.012,0.167,0.105,0.077,8757.907704949917
666,0.002,0.001,-0.006,0.006,-0.075,0.112,-0.089,8816.51560246003
667,-0.024,0.006,-0.008,-0.017,-0.053,0.094,-0.105,8625.17124162578
668,-0.007,0.004,-0.023,0.013,0.18,0.111,0.037,8193.039407743752
669,-0.003,0.005,-0.004,-0.004,-0.347,0.107,-0.327,7770.246897113713
